unit,F,C,O,delta,cal
1,192,63,63,0,0
2,287,375,287,1,0
3,179,322,179,1,1
4,189,149,149,0,1
5,269,252,252,0,0
6,188,226,188,1,0
7,259,275,259,1,0
8,150,246,150,1,0
9,201,252,201,1,1
10,222,192,192,0,1
11,240,337,240,1,1
12,170,399,170,1,0
13,163,267,163,1,1
14,180,133,133,0,0
15,207,343,207,1,1
16,209,343,209,1,1
17,276,205,205,0,1
18,195,195,195,1,1
19,158,263,158,1,1
20,234,343,234,1,1
21,195,318,195,1,0
22,202,91,91,0,0
23,168,168,168,1,1
24,147,89,89,0,0
25,230,239,230,1,0
26,199,287,199,1,1
27,156,175,156,1,0
28,165,154,154,0,0
29,163,208,163,1,0
30,194,244,194,1,1
31,234,255,234,1,0
32,191,93,93,0,1
33,200,181,181,0,0
34,195,393,195,1,1
35,181,344,181,1,0
36,158,225,158,1,1
37,170,116,116,0,0
38,194,164,164,0,0
39,128,265,128,1,0
40,188,341,188,1,0
41,216,207,207,0,0
42,196,186,186,0,0
43,207,336,207,1,0
44,192,85,85,0,0
45,158,349,158,1,1
46,256,166,166,0,0
47,214,262,214,1,1
48,231,263,231,1,1
49,215,327,215,1,1
50,198,151,151,0,0
51,213,69,69,0,0
52,213,88,88,0,1
53,195,239,195,1,1
54,257,117,117,0,0
55,193,360,193,1,0
56,275,295,275,1,1
57,137,167,137,1,0
58,147,160,147,1,1
59,231,95,95,0,0
60,172,269,172,1,0
61,185,105,105,0,1
62,180,159,159,0,0
63,174,98,98,0,0
64,283,295,283,1,0
65,153,244,153,1,1
66,202,248,202,1,0
67,313,381,313,1,0
68,199,248,199,1,0
69,362,190,190,0,0
70,137,81,81,0,1
71,208,307,208,1,1
72,213,127,127,0,0
73,213,79,79,0,1
74,166,271,166,1,1
75,229,175,175,0,1
76,210,220,210,1,1
77,154,340,154,1,1
78,231,113,113,0,0
79,199,104,104,0,0
80,185,372,185,1,0
81,240,342,240,1,0
82,214,284,214,1,0
83,293,382,293,1,0
84,267,380,267,1,0
85,188,130,130,0,1
86,278,179,179,0,1
87,178,206,178,1,0
88,213,146,146,0,0
89,217,379,217,1,1
90,154,158,154,1,0
91,135,282,135,1,0
92,341,216,216,0,1
93,155,199,155,1,0
94,258,141,141,0,0
95,283,101,101,0,0
96,336,249,249,0,0
97,202,109,109,0,0
98,156,200,156,1,1
99,185,255,185,1,0
100,200,241,200,1,0
