unit,F,C,O,delta,cal
1,192,451,192,1,0
2,287,93,93,0,0
3,179,529,179,1,1
4,189,874,189,1,1
5,269,961,269,1,0
6,188,110,110,0,0
7,259,249,249,0,0
8,150,209,150,1,0
9,201,503,201,1,1
10,222,295,222,1,1
11,240,791,240,1,1
12,170,171,170,1,0
13,163,335,163,1,1
14,180,104,104,0,0
15,207,139,139,0,1
16,209,474,209,1,1
17,276,839,276,1,1
18,195,464,195,1,1
19,158,977,158,1,1
20,234,495,234,1,1
21,195,72,72,0,0
22,202,80,80,0,0
23,168,836,168,1,1
24,147,84,84,0,0
25,230,536,230,1,0
26,199,571,199,1,1
27,156,939,156,1,0
28,165,553,165,1,0
29,163,933,163,1,0
30,194,101,101,0,1
31,234,415,234,1,0
32,191,476,191,1,1
33,200,378,200,1,0
34,195,388,195,1,1
35,181,484,181,1,0
36,158,161,158,1,1
37,170,659,170,1,0
38,194,515,194,1,0
39,128,841,128,1,0
40,188,154,154,0,0
41,216,395,216,1,0
42,196,788,196,1,0
43,207,535,207,1,0
44,192,469,192,1,0
45,158,279,158,1,1
46,256,71,71,0,0
47,214,214,214,1,1
48,231,696,231,1,1
49,215,181,181,0,1
50,198,269,198,1,0
51,213,302,213,1,0
52,213,338,213,1,1
53,195,821,195,1,1
54,257,579,257,1,0
55,193,594,193,1,0
56,275,65,65,0,1
57,137,539,137,1,0
58,147,237,147,1,1
59,231,969,231,1,0
60,172,496,172,1,0
61,185,966,185,1,1
62,180,581,180,1,0
63,174,760,174,1,0
64,283,466,283,1,0
65,153,690,153,1,1
66,202,515,202,1,0
67,313,381,313,1,0
68,199,958,199,1,0
69,362,225,225,0,0
70,137,875,137,1,1
71,208,690,208,1,1
72,213,916,213,1,0
73,213,840,213,1,1
74,166,569,166,1,1
75,229,747,229,1,1
76,210,931,210,1,1
77,154,532,154,1,1
78,231,735,231,1,0
79,199,901,199,1,0
80,185,601,185,1,0
81,240,93,93,0,0
82,214,134,134,0,0
83,293,654,293,1,0
84,267,600,267,1,0
85,188,73,73,0,1
86,278,784,278,1,1
87,178,273,178,1,0
88,213,946,213,1,0
89,217,117,117,0,1
90,154,243,154,1,0
91,135,680,135,1,0
92,341,288,288,0,1
93,155,283,155,1,0
94,258,148,148,0,0
95,283,970,283,1,0
96,336,900,336,1,0
97,202,571,202,1,0
98,156,424,156,1,1
99,185,858,185,1,0
100,200,968,200,1,0
